349 0.450429 -0.0454596 0.649776 0.550411 0.590264
349.7 0.426885 -0.11263 0.723165 0.556441 0.649813
350.4 0.405845 -0.18464 0.809305 0.568093 0.712299
351.1 0.387434 -0.26099 0.910938 0.585917 0.777361
351.8 0.371667 -0.340619 1.03139 0.610556 0.844628
352.5 0.358501 -0.421587 1.1746 0.6428 0.913662
353.2 0.347885 -0.50063 1.34515 0.683617 0.98385
353.9 0.33979 -0.57253 1.54799 0.734148 1.05428
354.6 0.334231 -0.629355 1.78796 0.795655 1.12358
355.3 0.331257 -0.659841 2.06931 0.869519 1.18992
356 0.330997 -0.648426 2.39444 0.957147 1.25082
356.7 0.333734 -0.574449 2.76068 1.05957 1.30274
357.4 0.339925 -0.413196 3.15603 1.17681 1.34092
358.1 0.350189 -0.140312 3.55425 1.30704 1.35966
358.8 0.365243 0.258905 3.91227 1.44564 1.35313
359.5 0.38571 0.776698 4.17478 1.58479 1.31714
360.2 0.411842 1.37374 4.29003 1.7144 1.25117
360.9 0.443226 1.98415 4.23171 1.82454 1.15966
361.6 0.478684 2.53701 4.01226 1.90841 1.0512
362.3 0.516481 2.98142 3.67656 1.96404 0.935968
363 0.55475 3.29834 3.28119 1.99384 0.822832
363.7 0.591897 3.49575 2.87512 2.00274 0.717796
364.4 0.626808 3.59597 2.49096 1.9963 0.623893
365.1 0.658865 3.62456 2.14546 1.97946 0.54193
365.8 0.68784 3.60412 1.84413 1.9561 0.471381
366.5 0.713769 3.55218 1.58596 1.92903 0.411077
367.2 0.736838 3.48139 1.36681 1.90019 0.359651
367.9 0.757303 3.40037 1.18149 1.87085 0.315763
368.6 0.775438 3.31485 1.02487 1.84181 0.278224
369.3 0.79149 3.22859 0.892514 1.8136 0.246062
370 0.805689 3.14396 0.780531 1.78653 0.218449
370.7 0.818254 3.06244 0.685575 1.76078 0.194679
371.4 0.829384 2.98483 0.60482 1.73642 0.174157
372.1 0.839254 2.91154 0.535915 1.71347 0.156382
372.8 0.848022 2.84269 0.476914 1.69191 0.14094
373.5 0.855824 2.77824 0.426214 1.67167 0.127481
374.2 0.86278 2.71804 0.382492 1.6527 0.115717
374.9 0.868992 2.66188 0.344658 1.63493 0.105405
375.6 0.87455 2.60952 0.311811 1.61827 0.0963407
376.3 0.879533 2.56071 0.283205 1.60266 0.0883548
377 0.884007 2.5152 0.258221 1.58802 0.0813027
377.7 0.888033 2.47274 0.23634 1.57429 0.0750626
378.4 0.89166 2.43311 0.217131 1.56139 0.0695313
379.1 0.894933 2.39608 0.20023 1.54928 0.0646206
379.8 0.897891 2.36146 0.185331 1.53789 0.0602553
380.5 0.900568 2.32906 0.172175 1.52717 0.0563708
381.2 0.902993 2.29871 0.160542 1.51707 0.0529118
381.9 0.905193 2.27025 0.150243 1.50756 0.0498299
382.6 0.907194 2.24352 0.141099 1.49858 0.0470775
383.3 0.90902 2.21835 0.132944 1.49008 0.0446098
384 0.910692 2.1946 0.125641 1.48202 0.0423884
384.7 0.912227 2.17214 0.119074 1.47437 0.0403813
385.4 0.913641 2.15085 0.113143 1.46708 0.0385606
386.1 0.914948 2.13063 0.107766 1.46013 0.0369029
386.8 0.91616 2.1114 0.102872 1.4535 0.0353879
387.5 0.917285 2.09306 0.0983996 1.44714 0.033998
388.2 0.918334 2.07555 0.0942964 1.44105 0.032718
388.9 0.919314 2.05879 0.0905175 1.4352 0.0315349
389.6 0.920232 2.04274 0.0870239 1.42957 0.0304371
390.3 0.921093 2.02733 0.0837819 1.42415 0.0294147
391 0.921904 2.01253 0.0807619 1.41892 0.0284589
391.7 0.922669 1.99827 0.0779385 1.41387 0.0275621
392.4 0.923392 1.98454 0.0752893 1.40899 0.0267175
393.1 0.924077 1.97128 0.0727947 1.40426 0.0259192
393.8 0.924727 1.95848 0.0704375 1.39968 0.025162
394.5 0.925344 1.94609 0.0682028 1.39524 0.0244413
395.2 0.925933 1.93409 0.0660773 1.39092 0.0237531
395.9 0.926495 1.92247 0.0640495 1.38672 0.0230938
396.6 0.927031 1.91118 0.0621091 1.38264 0.0224604
397.3 0.927545 1.90023 0.0602473 1.37866 0.0218499
398 0.928037 1.88958 0.0584564 1.37479 0.0212602
398.7 0.928509 1.87924 0.0567321 1.37101 0.0206899
399.4 0.928961 1.8692 0.0550709 1.36734 0.020138
400.1 0.929395 1.85946 0.0534694 1.36376 0.0196037
400.8 0.92981 1.85 0.0519246 1.36028 0.019086
401.5 0.930208 1.84084 0.0504335 1.3569 0.0185841
402.2 0.930589 1.83195 0.0489933 1.35362 0.0180972
402.9 0.930955 1.82334 0.0476012 1.35043 0.0176245
403.6 0.931305 1.815 0.0462549 1.34733 0.0171654
404.3 0.93164 1.80691 0.0449518 1.34432 0.0167192
405 0.931962 1.79909 0.0436897 1.3414 0.0162851
405.7 0.932271 1.79151 0.0424664 1.33857 0.0158626
406.4 0.932567 1.78418 0.04128 1.33582 0.0154512
407.1 0.932852 1.77708 0.0401284 1.33316 0.0150502
407.8 0.933125 1.77021 0.0390099 1.33057 0.0146591
408.5 0.933387 1.76355 0.0379226 1.32807 0.0142774
409.2 0.933639 1.75712 0.036865 1.32564 0.0139046
409.9 0.933881 1.75089 0.0358354 1.32328 0.0135403
410.6 0.934114 1.74487 0.0348324 1.321 0.0131841
