# Z_nm	Fit_totale_conteggi	LogN1_conteggi	LogN2_conteggi
24.731264	104.183711	0.000110	104.183601
24.766306	103.460762	0.000103	103.460660
24.801347	102.742542	0.000096	102.742446
24.836388	102.029023	0.000090	102.028934
24.871429	101.320180	0.000084	101.320097
24.906470	100.615987	0.000078	100.615909
24.941511	99.916418	0.000073	99.916345
24.976552	99.221446	0.000068	99.221378
25.011593	98.531046	0.000064	98.530983
25.046634	97.845193	0.000060	97.845134
25.081675	97.163861	0.000056	97.163805
25.116716	96.487023	0.000052	96.486971
25.151757	95.814655	0.000049	95.814607
25.186799	95.146731	0.000045	95.146686
25.221840	94.483226	0.000042	94.483184
25.256881	93.824115	0.000040	93.824075
25.291922	93.169372	0.000037	93.169335
25.326963	92.518972	0.000035	92.518937
25.362004	91.872890	0.000032	91.872858
25.397045	91.231102	0.000030	91.231072
25.432086	90.593582	0.000028	90.593554
25.467127	89.960307	0.000026	89.960280
25.502168	89.331250	0.000025	89.331225
25.537209	88.706388	0.000023	88.706365
25.572250	88.085696	0.000021	88.085674
25.607292	87.469149	0.000020	87.469129
25.642333	86.856724	0.000019	86.856706
25.677374	86.248396	0.000017	86.248379
25.712415	85.644142	0.000016	85.644125
25.747456	85.043936	0.000015	85.043921
25.782497	84.447755	0.000014	84.447741
25.817538	83.855576	0.000013	83.855562
25.852579	83.267374	0.000012	83.267361
25.887620	82.683126	0.000012	82.683114
25.922661	82.102808	0.000011	82.102797
25.957702	81.526396	0.000010	81.526386
25.992744	80.953869	0.000009	80.953859
26.027785	80.385201	0.000009	80.385192
26.062826	79.820370	0.000008	79.820362
26.097867	79.259353	0.000008	79.259345
26.132908	78.702127	0.000007	78.702120
26.167949	78.148669	0.000007	78.148662
26.202990	77.598955	0.000006	77.598949
26.238031	77.052965	0.000006	77.052959
26.273072	76.510673	0.000005	76.510668
26.308113	75.972060	0.000005	75.972055
26.343154	75.437101	0.000005	75.437096
26.378195	74.905774	0.000004	74.905770
26.413237	74.378058	0.000004	74.378054
26.448278	73.853930	0.000004	73.853926
26.483319	73.333368	0.000004	73.333364
26.518360	72.816350	0.000003	72.816347
26.553401	72.302855	0.000003	72.302851
26.588442	71.792860	0.000003	71.792857
26.623483	71.286344	0.000003	71.286341
26.658524	70.783285	0.000003	70.783283
26.693565	70.283663	0.000002	70.283661
26.728606	69.787455	0.000002	69.787453
26.763647	69.294641	0.000002	69.294639
26.798688	68.805198	0.000002	68.805197
26.833730	68.319108	0.000002	68.319106
26.868771	67.836347	0.000002	67.836345
26.903812	67.356896	0.000002	67.356894
26.938853	66.880733	0.000001	66.880732
26.973894	66.407839	0.000001	66.407837
27.008935	65.938191	0.000001	65.938190
27.043976	65.471771	0.000001	65.471770
27.079017	65.008558	0.000001	65.008557
27.114058	64.548531	0.000001	64.548530
27.149099	64.091671	0.000001	64.091670
27.184140	63.637956	0.000001	63.637955
27.219181	63.187368	0.000001	63.187367
27.254223	62.739887	0.000001	62.739886
27.289264	62.295492	0.000001	62.295491
27.324305	61.854164	0.000001	61.854163
27.359346	61.415883	0.000001	61.415883
27.394387	60.980631	0.000001	60.980630
27.429428	60.548387	0.000001	60.548386
27.464469	60.119133	0.000001	60.119132
27.499510	59.692848	0.000000	59.692848
27.534551	59.269515	0.000000	59.269515
27.569592	58.849115	0.000000	58.849114
27.604633	58.431627	0.000000	58.431627
27.639675	58.017034	0.000000	58.017034
27.674716	57.605317	0.000000	57.605317
27.709757	57.196458	0.000000	57.196458
27.744798	56.790437	0.000000	56.790437
27.779839	56.387237	0.000000	56.387237
27.814880	55.986839	0.000000	55.986839
27.849921	55.589225	0.000000	55.589224
27.884962	55.194377	0.000000	55.194376
27.920003	54.802276	0.000000	54.802276
27.955044	54.412906	0.000000	54.412906
27.990085	54.026249	0.000000	54.026248
28.025126	53.642285	0.000000	53.642285
28.060168	53.260999	0.000000	53.260999
28.095209	52.882372	0.000000	52.882372
28.130250	52.506387	0.000000	52.506387
28.165291	52.133027	0.000000	52.133027
28.200332	51.762275	0.000000	51.762275
28.235373	51.394112	0.000000	51.394112
28.270414	51.028524	0.000000	51.028524
28.305455	50.665491	0.000000	50.665491
28.340496	50.304998	0.000000	50.304998
28.375537	49.947028	0.000000	49.947028
28.410578	49.591564	0.000000	49.591564
28.445619	49.238590	0.000000	49.238590
28.480661	48.888089	0.000000	48.888089
28.515702	48.540044	0.000000	48.540044
28.550743	48.194440	0.000000	48.194440
28.585784	47.851261	0.000000	47.851261
28.620825	47.510489	0.000000	47.510489
28.655866	47.172110	0.000000	47.172110
28.690907	46.836107	0.000000	46.836107
28.725948	46.502464	0.000000	46.502464
28.760989	46.171166	0.000000	46.171166
28.796030	45.842197	0.000000	45.842197
28.831071	45.515542	0.000000	45.515542
28.866112	45.191185	0.000000	45.191184
28.901154	44.869110	0.000000	44.869110
28.936195	44.549302	0.000000	44.549302
28.971236	44.231747	0.000000	44.231747
29.006277	43.916429	0.000000	43.916429
29.041318	43.603333	0.000000	43.603333
29.076359	43.292444	0.000000	43.292444
29.111400	42.983748	0.000000	42.983748
29.146441	42.677228	0.000000	42.677228
29.181482	42.372872	0.000000	42.372872
29.216523	42.070664	0.000000	42.070664
29.251564	41.770590	0.000000	41.770590
29.286606	41.472635	0.000000	41.472635
29.321647	41.176786	0.000000	41.176786
29.356688	40.883027	0.000000	40.883027
29.391729	40.591345	0.000000	40.591344
29.426770	40.301725	0.000000	40.301725
29.461811	40.014154	0.000000	40.014154
29.496852	39.728618	0.000000	39.728618
29.531893	39.445102	0.000000	39.445102
29.566934	39.163594	0.000000	39.163594
29.601975	38.884079	0.000000	38.884079
29.637016	38.606545	0.000000	38.606545
29.672057	38.330977	0.000000	38.330977
29.707099	38.057361	0.000000	38.057361
29.742140	37.785686	0.000000	37.785686
29.777181	37.515937	0.000000	37.515937
29.812222	37.248102	0.000000	37.248102
29.847263	36.982167	0.000000	36.982167
29.882304	36.718119	0.000000	36.718119
29.917345	36.455946	0.000000	36.455946
29.952386	36.195634	0.000000	36.195634
29.987427	35.937171	0.000000	35.937171
30.022468	35.680544	0.000000	35.680544
30.057509	35.425741	0.000000	35.425741
30.092550	35.172748	0.000000	35.172748
30.127592	34.921555	0.000000	34.921555
30.162633	34.672147	0.000000	34.672147
30.197674	34.424513	0.000000	34.424513
30.232715	34.178642	0.000000	34.178642
30.267756	33.934519	0.000000	33.934519
30.302797	33.692134	0.000000	33.692134
30.337838	33.451475	0.000000	33.451475
30.372879	33.212530	0.000000	33.212530
30.407920	32.975286	0.000000	32.975286
30.442961	32.739732	0.000000	32.739732
30.478002	32.505857	0.000000	32.505857
30.513043	32.273648	0.000000	32.273648
30.548085	32.043095	0.000000	32.043095
30.583126	31.814185	0.000000	31.814185
30.618167	31.586908	0.000000	31.586908
30.653208	31.361252	0.000000	31.361252
30.688249	31.137205	0.000000	31.137205
30.723290	30.914758	0.000000	30.914758
30.758331	30.693897	0.000000	30.693897
30.793372	30.474614	0.000000	30.474614
30.828413	30.256896	0.000000	30.256896
30.863454	30.040732	0.000000	30.040732
30.898495	29.826113	0.000000	29.826113
30.933537	29.613026	0.000000	29.613026
30.968578	29.401462	0.000000	29.401462
31.003619	29.191410	0.000000	29.191410
31.038660	28.982859	0.000000	28.982859
31.073701	28.775799	0.000000	28.775799
31.108742	28.570219	0.000000	28.570219
31.143783	28.366110	0.000000	28.366110
31.178824	28.163460	0.000000	28.163460
31.213865	27.962259	0.000000	27.962259
31.248906	27.762499	0.000000	27.762499
