380.625 -2.3475 0.801581 -3.36488 13.328
381.37 -2.36302 0.809393 -2.38755 14.0983
382.116 -2.37776 0.815025 -1.40962 14.769
382.861 -2.39115 0.819344 -0.435844 15.2957
383.606 -2.40092 0.820082 0.213486 15.7107
384.352 -2.41152 0.821778 1.03986 16.0588
385.097 -2.42827 0.830332 2.71783 16.0481
385.842 -2.4449 0.838758 4.32973 15.699
386.587 -2.46677 0.848052 6.23805 14.9847
387.333 -2.48849 0.857211 7.82196 13.8839
388.078 -2.50799 0.867646 8.82845 12.5363
388.824 -2.52698 0.87816 9.45193 11.1887
389.569 -2.54501 0.886064 9.86379 10.0597
390.314 -2.56258 0.8929 10.114 9.04848
391.06 -2.57634 0.896781 10.2486 8.3414
391.805 -2.58739 0.898574 10.3408 7.82835
392.55 -2.59851 0.901822 10.3338 7.30587
393.296 -2.60973 0.906845 10.2261 6.78692
394.041 -2.62147 0.912376 10.0846 6.28677
394.786 -2.63441 0.919076 9.89668 5.78175
395.532 -2.64844 0.925502 9.71249 5.29601
396.277 -2.66768 0.930978 9.55889 4.71145
397.022 -2.68666 0.936549 9.37142 4.19983
397.768 -2.70326 0.945738 9.082 3.81066
398.513 -2.71974 0.954798 8.80675 3.47377
399.258 -2.73416 0.959542 8.63485 3.20799
400.004 -2.74829 0.963801 8.47376 2.97052
400.749 -2.7595 0.967756 8.33018 2.80396
401.494 -2.76983 0.97159 8.19526 2.66393
402.24 -2.7791 0.975233 8.07114 2.54969
402.985 -2.78775 0.978752 7.95483 2.45134
403.73 -2.79907 0.981642 7.83968 2.31774
404.476 -2.81299 0.983914 7.72315 2.15529
405.221 -2.82722 0.987587 7.58787 2.00767
405.966 -2.84201 0.993655 7.42491 1.87665
406.712 -2.85744 1.00027 7.26004 1.75301
407.457 -2.87517 1.00884 7.07295 1.62685
408.202 -2.89238 1.01685 6.90399 1.51603
408.948 -2.90598 1.02075 6.79491 1.42908
409.693 -2.91951 1.02459 6.68991 1.34878
410.438 -2.9321 1.02913 6.58692 1.28441
411.184 -2.94458 1.03363 6.48816 1.22494
411.929 -2.95454 1.03753 6.40734 1.18457
412.674 -2.96396 1.04127 6.33224 1.14936
413.42 -2.97368 1.04356 6.26764 1.10828
414.165 -2.98349 1.04521 6.20817 1.06597
414.91 -2.9954 1.0486 6.13124 1.0198
415.656 -3.00891 1.05334 6.04277 0.972173
416.401 -3.02308 1.05764 5.95741 0.922535
417.146 -3.03814 1.06137 5.87459 0.869599
417.892 -3.05323 1.06617 5.78906 0.823842
418.637 -3.06854 1.07363 5.69368 0.789257
419.382 -3.08341 1.08057 5.60628 0.757326
420.128 -3.09626 1.08514 5.53867 0.728376
420.873 -3.10901 1.08963 5.47387 0.701247
421.618 -3.1197 1.09324 5.42073 0.680815
422.364 -3.13035 1.09679 5.36929 0.661345
423.109 -3.14019 1.09793 5.33026 0.638614
423.854 -3.1499 1.09874 5.29344 0.616294
424.6 -3.15933 1.10161 5.25098 0.601598
425.345 -3.16866 1.10512 5.20763 0.589637
426.09 -3.18033 1.10836 5.15979 0.569895
426.836 -3.19341 1.11141 5.10995 0.546245
427.581 -3.20637 1.11519 5.05954 0.526032
428.326 -3.21922 1.11973 5.00862 0.509132
429.072 -3.2329 1.12441 4.95675 0.491168
429.817 -3.24815 1.1294 4.9018 0.470741
430.562 -3.26284 1.13445 4.84975 0.45306
431.308 -3.27571 1.13994 4.80242 0.441717
432.053 -3.28825 1.14519 4.7578 0.431195
432.798 -3.29747 1.14852 4.72603 0.424548
433.544 -3.30667 1.15182 4.69507 0.418098
434.289 -3.31736 1.15273 4.66679 0.403561
435.034 -3.32809 1.15348 4.6392 0.389115
435.78 -3.33803 1.15545 4.61114 0.379341
436.525 -3.34776 1.15768 4.58348 0.370863
437.27 -3.3577 1.1599 4.55593 0.362254
438.016 -3.36771 1.1621 4.52875 0.35375
438.761 -3.37897 1.1653 4.4978 0.345128
439.506 -3.39127 1.16932 4.46406 0.33651
440.252 -3.40371 1.17336 4.4308 0.328065
440.997 -3.41637 1.17748 4.3978 0.319714
441.742 -3.42905 1.18149 4.36572 0.311486
442.488 -3.44191 1.18532 4.33438 0.303013
443.233 -3.45468 1.18911 4.30397 0.29495
443.978 -3.46727 1.1929 4.27455 0.287505
444.724 -3.47978 1.19662 4.246 0.280375
445.469 -3.48783 1.19823 4.22829 0.276586
446.214 -3.49587 1.1998 4.2109 0.272887
446.96 -3.50584 1.20053 4.19189 0.265238
447.705 -3.51606 1.20112 4.17294 0.257244
448.45 -3.5267 1.20231 4.1528 0.249876
449.196 -3.53745 1.2037 4.13253 0.242892
449.941 -3.54766 1.20618 4.11198 0.238444
450.686 -3.5575 1.20936 4.09142 0.235625
451.432 -3.56807 1.21246 4.07028 0.231902
452.177 -3.57944 1.21549 4.04846 0.227206
452.922 -3.59115 1.21854 4.02654 0.222328
453.668 -3.60356 1.22169 4.00395 0.216954
454.413 -3.61547 1.22475 3.98255 0.212209
455.158 -3.6256 1.22761 3.96416 0.209324
455.904 -3.6357 1.23047 3.94607 0.206557
456.649 -3.64607 1.23403 3.9272 0.2045
457.394 -3.65639 1.23754 3.90875 0.202483
458.14 -3.66641 1.23828 3.89382 0.197387
458.885 -3.67637 1.23879 3.87939 0.192208
459.63 -3.68557 1.23815 3.86719 0.186513
460.376 -3.69454 1.23721 3.85566 0.180798
461.121 -3.70389 1.23898 3.84121 0.178121
461.866 -3.71342 1.24211 3.82547 0.176962
462.612 -3.72181 1.24403 3.81241 0.175482
463.357 -3.72918 1.2449 3.80164 0.173731
464.102 -3.73858 1.24618 3.7883 0.170687
464.848 -3.75109 1.2481 3.77104 0.165732
465.593 -3.76265 1.24999 3.75514 0.161718
466.338 -3.77162 1.25186 3.74234 0.159978
467.084 -3.78056 1.25357 3.72988 0.158138
467.829 -3.78943 1.25436 3.71838 0.155396
468.574 -3.79828 1.25512 3.70707 0.152722
469.32 -3.80966 1.25778 3.69171 0.150117
470.065 -3.82101 1.26041 3.67664 0.147588
470.81 -3.83088 1.26345 3.66301 0.146689
471.556 -3.84046 1.26653 3.64984 0.146054
472.301 -3.84988 1.26844 3.63786 0.144407
473.046 -3.85922 1.26989 3.62645 0.142411
473.792 -3.8679 1.27067 3.61631 0.140289
474.537 -3.8761 1.27098 3.60706 0.138093
475.282 -3.88463 1.27167 3.59732 0.136074
476.028 -3.89357 1.27281 3.58698 0.134252
476.773 -3.90282 1.27442 3.57615 0.132716
477.518 -3.91274 1.27707 3.56412 0.131726
478.264 -3.92262 1.27935 3.55254 0.13046
479.009 -3.93239 1.28017 3.54215 0.127967
479.754 -3.94207 1.28091 3.53201 0.125537
480.5 -3.95053 1.28076 3.52361 0.123133
481.245 -3.95896 1.28059 3.51533 0.120782
481.99 -3.96791 1.28295 3.50512 0.120377
482.736 -3.97688 1.2855 3.4949 0.120135
483.481 -3.98698 1.28761 3.48411 0.118853
484.226 -3.99734 1.28956 3.47331 0.117318
484.972 -4.00591 1.29065 3.46465 0.116153
485.717 -4.01349 1.29128 3.45715 0.115189
486.462 -4.02177 1.29145 3.4494 0.113475
487.208 -4.0307 1.29119 3.44143 0.111086
487.953 -4.0396 1.29176 3.4331 0.109435
488.698 -4.04846 1.29367 3.42414 0.108911
489.444 -4.05697 1.29504 3.41587 0.108164
490.189 -4.06445 1.29483 3.40932 0.106742
490.934 -4.07214 1.29486 3.40252 0.105426
491.68 -4.08163 1.2969 3.39335 0.104759
492.425 -4.09109 1.29891 3.38432 0.104099
493.17 -4.10045 1.29967 3.37609 0.102566
493.916 -4.10978 1.30038 3.368 0.101048
494.661 -4.11841 1.30094 3.36058 0.0997963
495.406 -4.12688 1.30146 3.35336 0.0986114
496.152 -4.13701 1.30177 3.3451 0.0965182
496.897 -4.14776 1.30199 3.33651 0.0941074
497.642 -4.15696 1.30327 3.32864 0.0932435
498.388 -4.16502 1.30533 3.32129 0.0934673
499.133 -4.17245 1.30731 3.31449 0.093929
499.878 -4.1791 1.30922 3.30832 0.094687
500.624 -4.18636 1.31003 3.30229 0.0944005
501.369 -4.19495 1.30841 3.29646 0.0918587
502.115 -4.20366 1.30724 3.29038 0.0896223
502.86 -4.21304 1.30825 3.28296 0.088612
503.605 -4.22226 1.30912 3.27578 0.087605
