# Z_nm	Fit_totale_conteggi	Gauss1_conteggi	Gauss2_conteggi
Distribuzione delle altezze tramite la convoluzione di due Gaussiane (Foto si vede meglio)

X		Y(Conv_Gauss)	Y(Gauss_1_blu)	Y(Gauss_2_verde)
6.201945	2816.473605	2314.501416	501.972189
6.219317	2803.674424	2299.382409	504.292014
6.236689	2790.667635	2284.071659	506.595976
6.254062	2777.458082	2268.574323	508.883760
6.271434	2764.050646	2252.895595	511.155052
6.288807	2750.450242	2237.040703	513.409540
6.306179	2736.661817	2221.014905	515.646912
6.323551	2722.690346	2204.823487	517.866859
6.340924	2708.540832	2188.471760	520.069072
6.358296	2694.218300	2171.965055	522.253245
6.375668	2679.727796	2155.308725	524.419071
6.393041	2665.074384	2138.508137	526.566247
6.410413	2650.263142	2121.568672	528.694470
6.427786	2635.299162	2104.495721	530.803441
6.445158	2620.187544	2087.294684	532.892860
6.462530	2604.933396	2069.970964	534.962432
6.479903	2589.541829	2052.529968	537.011861
6.497275	2574.017955	2034.977101	539.040855
6.514648	2558.366887	2017.317765	541.049122
6.532020	2542.593732	1999.557356	543.036376
6.549392	2526.703590	1981.701261	545.002329
6.566765	2510.701554	1963.754856	546.946698
6.584137	2494.592705	1945.723503	548.869202
6.601510	2478.382107	1927.612547	550.769560
6.618882	2462.074812	1909.427314	552.647498
6.636254	2445.675848	1891.173107	554.502741
6.653627	2429.190226	1872.855208	556.335018
6.670999	2412.622929	1854.478869	558.144060
6.688372	2395.978916	1836.049314	559.929602
6.705744	2379.263119	1817.571737	561.691381
6.723116	2362.480435	1799.051298	563.429137
6.740489	2345.635731	1780.493118	565.142612
6.757861	2328.733838	1761.902284	566.831554
6.775234	2311.779551	1743.283840	568.495711
6.792606	2294.777624	1724.642789	570.134835
6.809978	2277.732769	1705.984087	571.748682
6.827351	2260.649658	1687.312646	573.337011
6.844723	2243.532913	1668.633329	574.899584
6.862095	2226.387114	1649.950947	576.436167
6.879468	2209.216788	1631.270259	577.946529
6.896840	2192.026413	1612.595971	579.430441
6.914213	2174.820414	1593.932733	580.887682
6.931585	2157.603164	1575.285135	582.318029
6.948957	2140.378977	1556.657709	583.721267
6.966330	2123.152111	1538.054928	585.097184
6.983702	2105.926768	1519.481199	586.445569
7.001075	2088.707085	1500.940867	587.766218
7.018447	2071.497142	1482.438213	589.058930
7.035819	2054.300954	1463.977447	590.323507
7.053192	2037.122472	1445.562715	591.559756
7.070564	2019.965581	1427.198093	592.767489
7.087937	2002.834102	1408.887583	593.946519
7.105309	1985.731786	1390.635121	595.096666
7.122681	1968.662318	1372.444565	596.217753
7.140054	1951.629310	1354.319702	597.309608
7.157426	1934.636307	1336.264245	598.372062
7.174799	1917.686782	1318.281830	599.404952
7.192171	1900.784134	1300.376017	600.408118
7.209543	1883.931692	1282.550288	601.381404
7.226916	1867.132710	1264.808048	602.324661
7.244288	1850.390367	1247.152625	603.237742
7.261661	1833.707771	1229.587265	604.120506
7.279033	1817.087950	1212.115136	604.972815
7.296405	1800.533861	1194.739325	605.794536
7.313778	1784.048383	1177.462840	606.585543
7.331150	1767.634318	1160.288607	607.345711
7.348523	1751.294393	1143.219470	608.074923
7.365895	1735.031258	1126.258193	608.773065
7.383267	1718.847485	1109.407458	609.440027
7.400640	1702.745569	1092.669864	610.075706
7.418012	1686.727931	1076.047929	610.680001
7.435384	1670.796911	1059.544091	611.252820
7.452757	1654.954773	1043.160702	611.794071
7.470129	1639.203705	1026.900035	612.303670
7.487502	1623.545819	1010.764281	612.781538
7.504874	1607.983147	994.755548	613.227599
7.522246	1592.517648	978.875865	613.641783
7.539619	1577.151203	963.127178	614.024025
7.556991	1561.885618	947.511352	614.374266
7.574364	1546.722624	932.030174	614.692450
7.591736	1531.663875	916.685348	614.978527
7.609108	1516.710953	901.478500	615.232453
7.626481	1501.865364	886.411178	615.454187
7.643853	1487.128542	871.484848	615.643694
7.661226	1472.501848	856.700903	615.800945
7.678598	1457.986569	842.060653	615.925915
7.695970	1443.583921	827.565337	616.018584
7.713343	1429.295051	813.216113	616.078938
7.730715	1415.121034	799.014067	616.106967
7.748088	1401.062876	784.960209	616.102667
7.765460	1387.121514	771.055475	616.066038
7.782832	1373.297817	757.300730	615.997087
7.800205	1359.592588	743.696765	615.895823
7.817577	1346.006563	730.244300	615.762264
7.834950	1332.540414	716.943985	615.596429
7.852322	1319.194747	703.796401	615.398346
7.869694	1305.970107	690.802062	615.168045
7.887067	1292.866973	677.961411	614.905562
7.904439	1279.885767	665.274828	614.610939
7.921812	1267.026848	652.742626	614.284223
7.939184	1254.290518	640.365055	613.925463
7.956556	1241.677017	628.142300	613.534717
7.973929	1229.186533	616.074486	613.112047
7.991301	1216.819193	604.161675	612.657518
8.008673	1204.575074	592.403872	612.171202
8.026046	1192.454196	580.801022	611.653174
8.043418	1180.456527	569.353010	611.103517
8.060791	1168.581985	558.059669	610.522316
8.078163	1156.830436	546.920774	609.909663
8.095535	1145.201699	535.936047	609.265652
8.112908	1133.695544	525.105159	608.590385
8.130280	1122.311693	514.427726	607.883967
8.147653	1111.049825	503.903316	607.146509
