   338.140717     (  -1.04984808     ,  0.384893149     )
   338.886047     (  -1.09022343     ,  0.390796751     )
   339.631378     (  -1.13059866     ,  0.396700352     )
   340.376709     (  -1.17374623     ,  0.402218044     )
   341.122040     (  -1.21716630     ,  0.407697856     )
   341.867371     (  -1.25673306     ,  0.411913335     )
   342.612732     (  -1.29518282     ,  0.415762305     )
   343.358063     (  -1.32582867     ,  0.416980773     )
   344.103394     (  -1.35208476     ,  0.416719526     )
   344.848724     (  -1.38309681     ,  0.415075421     )
   345.594055     (  -1.41877580     ,  0.412074357     )
   346.339386     (  -1.45564270     ,  0.410564721     )
   347.084717     (  -1.49453688     ,  0.411600500     )
   347.830078     (  -1.53360224     ,  0.412672848     )
   348.575409     (  -1.57322752     ,  0.413864881     )
   349.320740     (  -1.61197674     ,  0.413796365     )
   350.066071     (  -1.64274108     ,  0.402240187     )
   350.811401     (  -1.67350554     ,  0.390684009     )
   351.556732     (  -1.70549417     ,  0.392398417     )
   352.302094     (  -1.73752904     ,  0.394614577     )
   353.047424     (  -1.77491212     ,  0.389237374     )
   353.792755     (  -1.81340420     ,  0.382285684     )
   354.538086     (  -1.85823834     ,  0.379007965     )
   355.283417     (  -1.90588272     ,  0.377358228     )
   356.028748     (  -1.94555509     ,  0.375218064     )
   356.774078     (  -1.97890341     ,  0.372688919     )
   357.519440     (  -2.00983024     ,  0.368214309     )
   358.264771     (  -2.03744531     ,  0.361078650     )
   359.010101     (  -2.06596971     ,  0.354853094     )
   359.755432     (  -2.09675336     ,  0.350888252     )
   360.500763     (  -2.12985373     ,  0.348054737     )
   361.246094     (  -2.17590308     ,  0.351545274     )
   361.991425     (  -2.22197247     ,  0.355024576     )
   362.736786     (  -2.26922321     ,  0.357830435     )
   363.482117     (  -2.31647396     ,  0.360636294     )
   364.227448     (  -2.35377097     ,  0.361011177     )
   364.972778     (  -2.38972545     ,  0.361058056     )
   365.718109     (  -2.42090869     ,  0.354887426     )
   366.463440     (  -2.45046639     ,  0.346598744     )
   367.208801     (  -2.48095798     ,  0.346553773     )
   367.954132     (  -2.51204467     ,  0.351766378     )
   368.699463     (  -2.54869914     ,  0.354244590     )
   369.444794     (  -2.59149814     ,  0.353704989     )
   370.190125     (  -2.63491535     ,  0.352959663     )
   370.935455     (  -2.67953253     ,  0.351815075     )
   371.680786     (  -2.72180653     ,  0.350940794     )
   372.426147     (  -2.75498438     ,  0.351115912     )
   373.171478     (  -2.78732347     ,  0.351017445     )
   373.916809     (  -2.80844903     ,  0.347261578     )
   374.662140     (  -2.82957435     ,  0.343505740     )
   375.407471     (  -2.85686803     ,  0.340068370     )
   376.152802     (  -2.88459492     ,  0.336653411     )
   376.898132     (  -2.92596674     ,  0.337583184     )
   377.643494     (  -2.97076726     ,  0.339604706     )
   378.388824     (  -3.01735401     ,  0.341900706     )
   379.134155     (  -3.06484485     ,  0.344335616     )
   379.879486     (  -3.10510039     ,  0.347334385     )
   380.624817     (  -3.13890743     ,  0.350835711     )
   381.370148     (  -3.17078805     ,  0.352551758     )
   382.115509     (  -3.19970012     ,  0.351517618     )
   382.860840     (  -3.22545075     ,  0.349597752     )
   383.606171     (  -3.24213243     ,  0.345137000     )
   384.351501     (  -3.26116443     ,  0.341478139     )
   385.096832     (  -3.29690599     ,  0.343520015     )
   385.842163     (  -3.33264780     ,  0.345561892     )
   386.587494     (  -3.37844849     ,  0.344232649     )
   387.332855     (  -3.42436910     ,  0.342863202     )
   388.078186     (  -3.46817017     ,  0.345892131     )
   388.823517     (  -3.51160645     ,  0.349678367     )
   389.568848     (  -3.55122948     ,  0.349912196     )
   390.314178     (  -3.58935547     ,  0.348751098     )
   391.059509     (  -3.61801577     ,  0.346092254     )
   391.804840     (  -3.63990545     ,  0.342362016     )
   392.550201     (  -3.66349220     ,  0.341205359     )
   393.295532     (  -3.68917036     ,  0.343220800     )
   394.040863     (  -3.71646810     ,  0.345708013     )
   394.786194     (  -3.74732304     ,  0.349231184     )
   395.531525     (  -3.78014159     ,  0.351233393     )
   396.276855     (  -3.82203436     ,  0.346207708     )
   397.022217     (  -3.86390710     ,  0.341603041     )
   397.767548     (  -3.90533423     ,  0.346383810     )
   398.512878     (  -3.94676137     ,  0.351164579     )
   399.258209     (  -3.97997069     ,  0.349862844     )
   400.003540     (  -4.01234674     ,  0.347944468     )
   400.748871     (  -4.03887463     ,  0.348547012     )
   401.494202     (  -4.06368494     ,  0.349889815     )
   402.239563     (  -4.08629942     ,  0.352039874     )
   402.984894     (  -4.10766840     ,  0.354647875     )
   403.730225     (  -4.13381577     ,  0.353187710     )
   404.475555     (  -4.16468048     ,  0.347711176     )
   405.220886     (  -4.19787264     ,  0.344732732     )
   405.966217     (  -4.23505688     ,  0.346038789     )
   406.711548     (  -4.27443457     ,  0.347838312     )
