wavelength_nm,auxiliary_value,transmittance,transmittance_error
672.0,0.0,0.854196,0.013542
675.0,0.0,0.863089,0.0136309
678.0,0.0,0.853973,0.0135397
681.0,0.0,0.848345,0.0134835
684.0,0.0,0.84847,0.0134847
687.0,0.0,0.851305,0.0135131
690.0,0.0,0.846179,0.0134618
693.0,0.0,0.844937,0.0134494
696.0,0.0,0.849808,0.0134981
699.0,0.0,0.854301,0.013543
702.0,0.0,0.850774,0.0135077
705.0,0.0,0.851203,0.013512
708.0,0.0,0.856432,0.0135643
711.0,0.0,0.855435,0.0135544
714.0,0.0,0.862151,0.0136215
717.0,0.0,0.866399,0.013664
720.0,0.0,0.86082,0.0136082
723.0,0.0,0.852996,0.01353
726.0,0.0,0.859457,0.0135946
729.0,0.0,0.864255,0.0136425
732.0,0.0,0.867498,0.013675
735.0,0.0,0.867284,0.0136728
738.0,0.0,0.866929,0.0136693
741.0,0.0,0.867592,0.0136759
744.0,0.0,0.878575,0.0137857
747.0,0.0,0.877743,0.0137774
750.0,0.0,0.866528,0.0136653
753.0,0.0,0.859248,0.0135925
756.0,0.0,0.856189,0.0135619
759.0,0.0,0.862772,0.0136277
762.0,0.0,0.86826,0.0136826
765.0,0.0,0.858147,0.0135815
768.0,0.0,0.859992,0.0135999
771.0,0.0,0.861982,0.0136198
774.0,0.0,0.866742,0.0136674
777.0,0.0,0.861842,0.0136184
780.0,0.0,0.862008,0.0136201
783.0,0.0,0.867442,0.0136744
786.0,0.0,0.870525,0.0137053
789.0,0.0,0.869123,0.0136912
792.0,0.0,0.874587,0.0137459
795.0,0.0,0.881209,0.0138121
798.0,0.0,0.891287,0.0139129
